Company,Industry,Type,Region,Fit,Angle,Signal
Sweat,Health & Wellness,Enterprise,US/Global,9,IAP-to-web migration + LPMs for its non-US majority,"30M+ subscribers, 145 ctys, 8 languages; heavy iOS/Android IAP"
Swimply,Marketplace,Medium,New York NY,9,Payouts two-sided + instant-payout para hosts,Expandiendo categorías
Take Profit Trader,Fintech & Crypto,Medium,Orlando FL,9,LPMs globales + orquestación payouts,Top US futures prop 2025-26
Take-Two (Rockstar/2K),Gaming,Enterprise,US/Global,9,"Global GTA Online 2 launch w/ massive recurring microtxn needs auth optimization, LPMs, redundancy day one",GTA 6 / GTA Online 2 launching Nov'26; Shark Cards pulled $5B
TickPick,Marketplace,Medium,New York NY,9,Failover PSP + auth-rate en tickets de alto valor,Capital fresco Brighton Park
Transak,Fintech & Crypto,Enterprise,US/Global,9,Pure-play on-ramp in MetaMask: orchestrate card acquirers behind buy button for higher auth + redundancy,$16M from Tether/IDG; exclusive MetaMask on-ramp powering 100M+ users
TravelPerk (US),Travel & Experiences,Enterprise,US/Global,9,Rapid US+global build w/ fresh payments stack: orchestration prevents single-PSP lock-in + local methods,$200M Series E at $2.7B; aggressive US expansion; acquired payments firm Yokoy
Tripledot Studios,Gaming,Enterprise,US/Global,9,Freshly merged 12-studio portfolio runs fragmented PSPs; consolidate billing w/ one integration + LPMs,"Closed $800M acquisition of AppLovin games (Jun'25); 12 studios, 25M DAU"
Valve / Steam,Gaming,Enterprise,US/Global,9,PSP redundancy w/ auto-failover so no single bank cuts off a region + routing + LPMs + chargeback orchestration,PayPal acquirer terminated Steam in most regions (Jul'25); chargeback pressure
Vivid Seats,Marketplace,Enterprise,US/Global,9,"Cost pressure + new intl launches: routing-driven cost reduction, redundancy, local methods",Launching Europe + Japan; acquired Vegas.com; cost-cutting to cash-generative 2026
Vuori,E-commerce & Retail,Enterprise,US/Global,9,Rapid multi-ctry rollout + China/UK = fragmented-PSP + LPM problem one orchestrator solves,E-com in 11 new ctys; first Asia stores (Seoul/Beijing); IPO chatter 2026
Webull,Fintech & Crypto,Enterprise,US/Global,9,One integration for card acquiring + LPMs to fund accounts across 22 new EEA markets,EEA passport for 22 EU markets (Q1'26); net deposits $8.6B +91% YoY
WeightWatchers,Health & Wellness,Enterprise,US/Global,9,Turnaround lives on retention: dunning + decline-recovery to stop involuntary churn,"Emerged from Ch.11 Jul'25, relaunched as GLP-1 telehealth subscription"
WorkOS,SaaS,Medium,US/Global,9,"Usage-based dev-auth APIs, self-serve globally; scaling finance ops = ripe before lock-in",$100M Series C at $2B (Mar'26); ARR climbing fast
WorldWinner,Gaming,Enterprise,US/Global,9,One API for high-volume entry-fee w/ failover + chargeback orchestration + web checkout vs 30%,Pays $2M+ weekly across 45 states; runs FanDuel Faceoff
Zynga (Take-Two),Gaming,Enterprise,US/Global,9,Massive global mobile portfolio shifting to D2C: orchestration to escape 30% + route globally,Take-Two emphasizing D2C over advertising for mobile
Adevinta,Marketplace,Enterprise,Norway/EU,9,Unificar pagos multi-marca multi-país clasificados,
Asana,SaaS,Enterprise,US,9,Smart routing + recovery en cargos recurrentes de seats,
Avianca,Travel & Experiences,Enterprise,Colombia,9,Local acquiring + LPM/installment LatAm,
Babbel,Education,Enterprise,Germany,9,Reduce auth-decline churn renewals + EU LPMs,
Basic-Fit,Health & Wellness,Enterprise,Netherlands,9,Smart routing + dunning debit/card mix + failover,
Bitget,Fintech & Crypto,Enterprise,Global,9,Un API add/route acquirers + LPMs globales,
Bitpanda,Fintech & Crypto,Enterprise,Austria,9,Card-auth lift + LPM breadth EU,
Bitso,Fintech & Crypto,Enterprise,Mexico,9,LPM (Pix/SPEI) + on-ramp failover,
Bunq,Fintech & Crypto,Enterprise,Netherlands,9,Top-up auth routing + PSP failover EU,
Bybit,Fintech & Crypto,Enterprise,UAE,9,Acquirer failover + LPMs para recuperar deposits,
ClickUp,SaaS,Medium,US,9,Reduce decline-driven churn + LPMs globales,
CoinDCX,Fintech & Crypto,Enterprise,India,9,"UPI + card routing, on-ramp optimization",
Coupang,Marketplace,Enterprise,Korea,9,Routing expansión cross-border + Korean LPMs,
Cover Genius,Fintech & Crypto,Enterprise,Australia,9,Global LPMs + PSP redundancy 60 países,
Creative Market,Digital Products,Medium,US,9,"Global LPMs + creator payouts, una integración",
CTS Eventim,Travel & Experiences,Enterprise,Germany,9,Failover/redundancy en on-sale surge + LPMs,
Dafiti (GFG),E-commerce & Retail,Enterprise,Brazil,9,Multi-country PSP consolidation + LPM,
Deezer,Media & Streaming,Enterprise,France,9,Auth-rate routing + IAP→web para margen,
Domino's Pizza,Food & Delivery,Enterprise,Global,9,"Orquestación PSP global 90 mercados, redundancia",
Dream Games,Gaming,Enterprise,Turkey,9,Web-shop billing + LPMs vs 30%,
eDreams ODIGEO,Travel & Experiences,Enterprise,Spain,9,Routing + recuperar Prime renewals + redundancia EU,
Envato,Digital Products,Enterprise,Australia,9,Subscription billing + author payouts orchestration,
Etihad Airways,Travel & Experiences,Enterprise,UAE,9,Unificar LPMs regionales + smart-route premium,
eToro,Fintech & Crypto,Enterprise,Israel/UK,9,Deposit-auth routing + acquirer redundancy global,
Europcar,Travel & Experiences,Enterprise,France,9,Smart routing + redundancia + franchise payouts,
Fastned,Mobility & Energy,Enterprise,Netherlands,9,Multi-country PSP + tap-to-charge auth + dunning,
Freshworks,SaaS,Enterprise,India/US,9,Cross-border cost reduction + auth uplift (India rails),
Gameloft,Gaming,Enterprise,France,9,"Un API web-store billing + LPMs, escapar 30%",
Globoplay (Globo),Media & Streaming,Enterprise,Brazil,9,Pix/boleto/installment LPMs + retry routing,
Goodiebox,E-commerce & Retail,Medium,Denmark,9,Multi-PSP routing + dunning recover renewals,
Grover,E-commerce & Retail,Medium,Germany,9,Failover + auth en rental charges + LPMs,
HBX Group (Hotelbeds),Travel & Experiences,Enterprise,Spain,9,Collections cross-border + supplier payouts un API,
HelloFresh,Food & Delivery,Enterprise,Germany,9,Subscriptions/dunning + multi-country LPM + failover,
Holafly,Telco & Connectivity,Medium,Spain,9,LatAm LPMs + auth lift cross-border cards,
HungerStation,Food & Delivery,Enterprise,Saudi Arabia,9,KSA LPM (mada) + courier payouts + failover,
Indodax,Fintech & Crypto,Enterprise,Indonesia,9,Add LPMs + acquirer failover IDR on-ramp,
iQIYI,Media & Streaming,Enterprise,China,9,IAP→web migration + SEA LPM routing,
JioSaavn,Media & Streaming,Enterprise,India,9,"UPI + card orchestration, recovery churn",
Kavak,Marketplace,Enterprise,Mexico,9,Installment routing + auth big-ticket + payouts,
King,Gaming,Enterprise,UK,9,Orquestar D2C web billing + auth routing,
Krafton,Gaming,Enterprise,Korea,9,UPI + LPM coverage + PSP failover India/SEA,
Lassie,Fintech & Crypto,Medium,Sweden,9,Reduce dunning/churn premiums + multi-country PSP,
LaunchGood,Creator & Social,Medium,US,9,Global LPMs + redundancia donation spikes (Ramadan),
Lebara,Telco & Connectivity,Medium,UK,9,Diaspora LPMs + failover across PSPs,
Lycamobile,Telco & Connectivity,Enterprise,UK,9,"Smart routing + LPMs, reduce failed top-ups",
Manta (Razor),Media & Streaming,Medium,Korea,9,IAP→web escape 30% + global LPM coverage,
Meesho,Marketplace,Enterprise,India,9,UPI/card routing + reseller payout orchestration,
Melia Hotels,Travel & Experiences,Enterprise,Spain,9,Multi-currency LPMs + PSP failover global,
miHoYo / HoYoverse,Gaming,Enterprise,China/Singapore,9,Orquestar web top-up + LPMs + fraude/chargeback,
Minor Hotels,Travel & Experiences,Enterprise,Thailand,9,LPMs APAC/EMEA + acquirer redundancy,
Monday.com,SaaS,Enterprise,Israel,9,Auth optimization + dunning en seat expansions/renewals,
MSC Cruises,Travel & Experiences,Enterprise,Switzerland,9,Auth routing high-value + LPMs por mercado,
Netmarble,Gaming,Enterprise,Korea,9,Smart routing auth + global LPMs hacia Occidente,
Nexon,Gaming,Enterprise,Japan/Korea,9,Cross-PSP redundancy + LPM expansion global,
OKX,Fintech & Crypto,Enterprise,Global,9,Smart routing + redundancia regional acquirers,
OTTO Group,Marketplace,Enterprise,Germany,9,Routing optimization + seller payouts + redundancia,
PedidosYa,Food & Delivery,Enterprise,LatAm,9,Multi-country LPM + cost reduction + payouts,
Pocket FM,Media & Streaming,Medium,India/US,9,Smart routing auth small-ticket + dunning,
Qover,Fintech & Crypto,Medium,Belgium,9,"Route + LPMs por mercado, su tesis en pagos",
QuintoAndar,Marketplace,Enterprise,Brazil,9,Rent collection + dunning + landlord payouts,
Restaurant Brands Intl,Food & Delivery,Enterprise,Canada,9,Consolidación PSP cross-border + auth lift,
Shahid (MBC),Media & Streaming,Enterprise,Saudi Arabia,9,LPM coverage + PSP failover en picos,
Singapore Airlines,Travel & Experiences,Enterprise,Singapore,9,Auth routing premium + APAC LPM breadth,
Singlife,Fintech & Crypto,Enterprise,Singapore,9,Smart routing + failover auto-pay y wallet top-ups,
Sixt,Travel & Experiences,Enterprise,Germany,9,Auth en holds/deposits + LPMs inbound,
Tibber,Mobility & Energy,Medium,Norway,9,Dunning + involuntary-churn recovery debits mensuales,
Trade Republic,Fintech & Crypto,Enterprise,Germany,9,Deposit-auth lift + acquirer redundancy,
Traveloka,Travel & Experiences,Enterprise,Indonesia,9,Orquestar SEA LPMs + failover,
Turkish Airlines,Travel & Experiences,Enterprise,Turkey,9,LPM coverage + multi-currency + redundancia,
Vidio (Emtek),Media & Streaming,Enterprise,Indonesia,9,Local APMs + failover fragmentación ID,
ViX (TelevisaUnivision),Media & Streaming,Enterprise,Mexico,9,"LatAm LPMs (OXXO, SPEI) + IAP→web",
Voodoo,Gaming,Enterprise,France,9,Web-store migration + routing al volverse core IAP,
Wellhub (Gympass),Health & Wellness,Enterprise,Brazil,9,Multi-PSP redundancy + local acquiring recurring,
Wildlife Studios,Gaming,Enterprise,Brazil,9,Web-store routing + auth vs IAP leakage,
Yum! Brands,Food & Delivery,Enterprise,Global,9,"Smart routing + global LPM en franquicias, auth lift",
Zoho,SaaS,Enterprise,India,9,Global LPMs + auth optimization India/LatAm/APAC,
Born / Pengu,AI,Medium,USA,8,Single-PSP sub + IAP→web + routing intl,$15M Serie A + 15M users (Sep'25)
Captions,AI,Medium,New York NY,8,IAP→web + LPMs globales + credit billing,"$100M Serie C, escalando intl"
Character.AI,AI,Medium,US/Global,8,Intl Stripe-only sub w/ explosive LatAm/India + acute cost pressure = textbook orchestration,Exploring sale/raise >$1B amid cost pressure; LatAm/India skew; Stripe-only+IAP
Groq,AI,Medium,US/Global,8,2M-dev inference API expanding EU+ME: region-specific acquiring + LPMs a US PSP can't deliver,$750M at $6.9B; 13 DCs NA/EU/ME; 2M+ devs on usage-based GroqCloud
Kindroid,AI,Medium,USA,8,Tiered sub billing + IAP→web + auth intl,Líder companion customization 2026
Krea,AI,Medium,San Francisco CA,8,Credit billing + routing intl al escalar,$47M Serie B (Abr'25)
Krea AI,AI,Medium,US/Global,8,"One API to monetize 191 ctys w/ LPMs + PSP redundancy, lifting auth + cutting decline churn",$47M Series B (Apr'25) at ~$500M; 30M+ users across 191 ctys
Modal Labs,AI,Medium,US/Global,8,Pay-per-compute to global devs is decline-sensitive: routing + retries protect metered revenue,$355M Series C at $4.65B (May'26); per-second usage billing
Nomi AI,AI,Medium,USA,8,"Single-PSP sub, users intl → routing + dunning",App companion top-ranked 2026
Opus Clip,AI,Medium,US/Global,8,Consolidate global creator+enterprise billing on one API w/ routing/failover + local methods,$20M from SoftBank at $215M (Mar'25); 10M users; launched Agent Opus
Pika,AI,Medium,Palo Alto CA,8,Credit billing + failover PSP + LPMs intl,"$80M Serie B, crecimiento masivo"
Poe (Quora),AI,Medium,US/Global,8,"PSP redundancy behind Stripe, route subs off 30% IAP to web, orchestrate creator payouts","18M MAU, ~$190M 2026; 5 paid tiers + creator-payout; single-Stripe+IAP"
Runway,AI,Medium,US/Global,8,Real local methods + multi-acquirer routing recover intl declines currency display can't fix,"$315M at $5.3B (Feb'26); Stripe-only, admits intl checkout drop-off"
Fathom,AI,Medium,US,8,Cross-border seat billing + dunning en recurring,
Fireflies.ai,AI,Medium,US,8,Smart routing + failover per-seat recurring global,
Ideogram,AI,Medium,Canada,8,Single-PSP self-serve; LPM breadth para users no-US,
InVideo,AI,Medium,India,8,Lift auth + LPMs más allá de home market para creators,
Jasper,AI,Enterprise,US,8,Subscription billing global + LPMs + dunning/recovery,
Joyland AI,AI,Medium,US/Asia,8,Credit-pack billing por región; LPMs para conversión,
Mubert,AI,Medium,Cyprus,8,Subs globales + creator payouts en un rail,
Mureka (Kunlun),AI,Enterprise,China,8,China-origin global: LPMs occidentales + IAP orchestration,
Neosapience (Typecast),AI,Medium,Korea,8,Hardening billing pre-IPO + LPMs LatAm/APAC,
Otter.ai,AI,Medium,US,8,Dunning + cross-border auth en renovaciones,
PixAI,AI,Medium,Singapore/Japan,8,"Localizar collection (SEA wallets, JP, LatAm) en top-ups",
Pixelcut,AI,Medium,US,8,Single-PSP; LPMs + web checkout para sellers SMB globales,
Pollo AI,AI,Medium,Singapore/China,8,Un rail no captura LPMs India/LatAm/MENA,
Remini,AI,Enterprise,Italy/China,8,IAP fee leakage + web-billing migration con rails locales,
ShengShu (Vidu),AI,Medium,China,8,Redundancia más allá de Stripe + LPMs EU/US/India,
Soundraw,AI,Medium,Japan,8,JP-HQ single PSP; LPMs EU/US + reduce FX/decline,
VEED.io,AI,Medium,UK,8,EU/global LPMs + smart routing creators,
Vyro AI (ImagineArt),AI,Medium,Pakistan,8,South-Asia-HQ vendiendo mundial; UPI + LPMs + IAP→web,
Writesonic,AI,Medium,India/US,8,"India + global LPM coverage (UPI), single-PSP risk",
Acorns,Fintech & Crypto,Medium,Irvine CA,8,Auth recurrente card + failover,Adquirió EarlyBird (May'25); rev ~3x
AG1,E-commerce & Retail,Enterprise,US/Global,8,Single-SKU global subscription lives on recurring auth + dunning = smart routing + failover,~$600M rev; launched at Target Apr'26 (omnichannel); single-subscription engine
Airwallex (US),Fintech & Crypto,Enterprise,US/Global,8,Aggressive US push + card book: cross-PSP redundancy + acquiring-side auth across 12 new markets,$8B valuation; ~$1B to US ops 2026-29 + SF HQ; $1.3B ARR
Alaska/Hawaiian,Travel & Experiences,Enterprise,US/Global,8,Domestic carrier going global across two merged stacks: unified cross-border acceptance + failover,Post-merger first transatlantic (Rome/London/Reykjavik) 2026
Alto (Alto IRA),Fintech & Crypto,Medium,Nashville TN,8,Auth de account-funding + on/off-ramp orchestration,Partnership Canopy (Dic'25)
Anker Innovations,E-commerce & Retail,Enterprise,US/Global,8,"Multi-brand global electronics runs fragmented PSPs by brand/region; consolidate routing, LPMs, cost","$3.65B TTM 2025, ~half US; multi-brand global DTC + marketplace"
ARQ (DolarApp),Fintech & Crypto,Enterprise,US/Global,8,Stablecoin cross-border super-app adding cards: orchestrate fiat on/off-ramp + lift auth across LatAm,"$70M raise (Sequoia/FF) early'26; 2M+ users, $10B+ annualized; adding cards"
Atlas Coffee Club,E-commerce & Retail,Medium,Boston MA,8,LPMs intl-roaster + dunning subscripción; failover,Cross-promo Driftaway (Mar'25)
Aura Health,Health & Wellness,Medium,San Francisco CA,8,IAP→web; smart routing en subs globales,App meditación 1:1 coaching 2025
Avis Budget,Travel & Experiences,Enterprise,US/Global,8,180-ctry high-ticket rental: small auth lifts on high-value bookings = recovered revenue,"~10,250 locations ~180 ctys; expanding Avis First 2026"
Beacons,Creator & Social,Medium,San Francisco CA,8,LPMs + routing para conversión creator-store global,Expansión features monetización 2025
Bitwarden,SaaS,Enterprise,US/Global,8,Password-manager self-serve subs worldwide: cross-border acceptance + LPMs on global renewals,"$100M PSG/Battery round; 10M users 180+ ctys, capital for intl"
BloomNation,Marketplace,Medium,Santa Monica CA,8,Payouts florist + LPMs Canadá/LatAm,Soporte español; Canadá; supplier 2025
Blueland,E-commerce & Retail,Medium,New York NY,8,Replenishment billing + dunning,Modelo refill drive loyalty 2025
Bokksu,E-commerce & Retail,Medium,New York NY,8,Aceptación cross-border/LPM + dunning subscripción,Forecast $34M 2025; retail 2x
Boo,Creator & Social,Medium,US/Global,8,UPI/regional wallets + shift recurring off 30% IAP + dunning,"Top-3 in SG/ID/MY, active India (largest 2025 download mkt)"
Brainscape,Education,Medium,New York NY,8,Web checkout + métodos locales para learners globales,Rev $4.4M→$6.1M (Oct'24)
Breeze Airways,Travel & Experiences,Enterprise,US/Global,8,First-time cross-border = greenfield: one integration to add LPMs + FX without per-ctry plumbing,Launching first-ever intl routes early'26 (MX/Bahamas/CR/Jamaica/DR)
Brightside Health,Health & Wellness,Medium,USA,8,Routing + redundancia para billing recurrente,Expandiendo therapy/psychiatry/meds 2025
Brilliant,Education,Medium,San Francisco CA,8,Billing subscripción global + auth-rate en planes anuales,Lanzó Koji AI tutor 2025
Brooklinen,E-commerce & Retail,Medium,Brooklyn NY,8,Redundancia PSP + BNPL en sets de mayor AOV,Omnichannel + expansión categorías
Bungie (Sony),Gaming,Enterprise,US/Global,8,"New live-service launch + global cosmetics store: orchestrate D2C, reduce store dependency",Marathon launching w/ new microtxn model; Destiny 2 Eververse $300M+
Calm,Health & Wellness,Enterprise,US/Global,8,One API for UK/CA w/ LPMs + routing/dunning to recover lost subs,Calm Health first intl (UK/CA) Jun'25; shed ~500K subs to 3.5M
Cameo,Creator & Social,Medium,Chicago IL,8,Routing recupera declines + LPMs para compras de fans,Rev reconstruyéndose 2025
Carnival Corporation,Travel & Experiences,Enterprise,US/Global,8,World's largest cruise w/ multi-brand global flows: reduce cross-border cost + auth/redundancy,Celebration Key opened Jul'25; largest-ever fleet; record bookings
Casago,Travel & Experiences,Enterprise,US/Global,8,Live cross-border portfolio mid-integration: consolidate two legacy stacks + multi-currency + owner payouts,Completed Vacasa acquisition (May'25); 40k+ properties US/MX/Belize/CR
Cash App (Block),Fintech & Crypto,Enterprise,US/Global,8,Orchestrate card-funded top-ups + stablecoin on/off-ramp across PSPs to lift auth + failover,Rolling out Circle USDC to ~60M users across 4 chains (May'26)
Chairish,Marketplace,Medium,San Francisco CA,8,Auth high-ticket + orquestación payout seller,"Resale design high-AOV, shipping intl"
ChargePoint,Mobility & Energy,Enterprise,US/Global,8,Cross-network roaming settles across ctys/currencies/billing: multi-currency multi-PSP orchestration,"150k+ ports NA+EU, 500k+ EU roaming; payments ~$690M segment"
Chegg,Education,Enterprise,US/Global,8,Churn crisis + fresh LatAm expansion: dunning orchestration + LPM story,"Q2'25 sub rev -39%, subs -40% to 2.6M; pushing Busuu into LatAm"
Chime,Fintech & Crypto,Enterprise,US/Global,8,Scale instant transfers + card top-ups post-IPO: lift funding auth + PSP failover,Q1'26 $38.7B purchase volume +12%; first GAAP profit; post-IPO
Circle (communities),Creator & Social,Medium,San Francisco CA,8,Auth-rate + redundancia en subs membership,Rentable 2025; 18k+ comunidades
Clerk,SaaS,Medium,US/Global,8,PLG auth/identity API building metered billing now: orchestration partner at the right moment,$50M round (Jun'25); usage-based billing top roadmap priority
Cloudflare,SaaS,Enterprise,US/Global,8,Self-serve usage+subscription expanding geos: local acquiring/currency/LPM billing pain,Expanded data-residency regions (BR/DE/IN/JP/SG/UK) Dec'25
Cotopaxi,E-commerce & Retail,Medium,Salt Lake City UT,8,LPMs/local acquiring para intl; redundancia PSP,Nuevo CEO; Serie C-III (Jun'25)
Crown Affair,E-commerce & Retail,Medium,New York NY,8,Replenishment sub + dunning; LPMs intl,$9M Serie B (May'25)
Cure Hydration,E-commerce & Retail,Medium,New York NY,8,Subscribe-and-save billing + auth-rate,Categoría hidratación en polvo surge 2025-26
Curtsy,Marketplace,Medium,San Francisco CA,8,Payouts seller + auth lift para compradores impulsivos,Crecimiento resale mobile-first
Dashlane,SaaS,Enterprise,US/Global,8,Surge of new self-serve card subs globally: onboarding auth-rate + churn-recovery moment,"Retired free plan Sep'25, forcing free users onto paid card tiers"
DataCamp,Education,Medium,New York NY,8,Métodos locales + decline recovery en base intl,180+ países base 2025
DAZN,Media & Streaming,Enterprise,US/Global,8,Global LPM coverage + failover for sports base spanning dozens of markets,Multi-year US+Canada Fubo integration; DAZN1 linear launch
Ditto,Creator & Social,Medium,USA,8,Dunning + failover para monetización temprana,$9.2M seed Feb 2026
DriveWealth,Fintech & Crypto,Enterprise,US/Global,8,One integration for LPMs + card acquiring per market so partners fund at high auth without rebuilding rails,Powers Uala US-stock launch in Mexico (Mar'26); Kalshi; EU license
Eight Sleep,Health & Wellness,Enterprise,US/Global,8,Local acquiring/LPMs + redundancy to capture membership revenue outside US rails,"$100M Series D (Aug'25) + $50M at $1.5B; ships 34+ ctys, China entry"
Elevate Labs,Education,Medium,San Francisco CA,8,Reducir 30% IAP via web billing,Top brain-training app 2025
Etsy,Marketplace,Enterprise,US/Global,8,"Adding payment markets: layer orchestration for LPM breadth, auth lift, seller-payout reliability",Expanded Etsy Payments to more markets amid 2025 tariff complexity
Exodus,Fintech & Crypto,Enterprise,US/Global,8,US-public wallet turning into payments app w/ global expansion: card acquiring/on-ramp + payouts,Launched Exodus Pay (Apr'26); acquired Baanx+Monavate for issuing
Expedia Group,Travel & Experiences,Enterprise,US/Global,8,Surging B2B/white-label + supplier payouts across global partners: cross-border orchestration + failover,B2B gross bookings +24% Q4'25; extending Rapid API 2026; ~$3B tech spend
Faherty,E-commerce & Retail,Medium,New York NY,8,Auth-rate + redundancia PSP omnichannel,"Escaló a $250M, B Corp 2025"
Fanatics Collect,Marketplace,Enterprise,US/Global,8,New high-growth collectibles + live-auction w/ complex payouts: one API + redundancy as volume scales,PSA partnership; live auctions + Sotheby's scaling 2025-26
Fashionphile,Marketplace,Medium,Carlsbad CA,8,PSP cross-border + LPMs para nuevo mercado UK/EU,Lanzó UK 2025 (Luxe Collective)
Feeld,Creator & Social,Medium,US/Global,8,One API to lift global auth + LPMs + cut churn before scale magnifies leakage,"2024 rev +26% to $65.2M; ~171 staff across 6 continents, intl plans"
Finch (Finch Care),Health & Wellness,Medium,US/Global,8,Launch web billing to escape the tax + routing + dunning,~$30M ARR almost all on IAP as Apple 30% cracked Jan'26
Found,Health & Wellness,Medium,Austin TX,8,Dunning + routing en billing GLP-1 alto volumen,Boom GLP-1 telehealth 2025
Fourthwall,Creator & Social,Medium,Venice CA,8,Un API checkout global + payouts/redundancia creator,"200k+ sellers, expansión monetización 2025"
Frontier Airlines,Travel & Experiences,Enterprise,US/Global,8,"ULCC Mexico/LatAm growth where LPMs (OXXO, installments) + cross-border declines are real leakage",23 new US/Mexico routes + Caribbean/Central America spring'26
Gameflip,Gaming,Medium,USA,8,Marketplace PSP orchestration + fraude/chargeback,StartEngine raise 2025; $200M+ ventas
Gemini (crypto),Fintech & Crypto,Enterprise,US/Global,8,As growth engine pivots to card-deposit under public scrutiny: lift card auth + acquirer redundancy,"Card revenue +300% to $14.7M (~half of rev), May'26; post-IPO"
Giggster,Marketplace,Medium,Los Angeles CA,8,Payouts host two-sided + fraude en bookings de alto valor,Marketplace de espacios creativos
GitHub Copilot,SaaS,Enterprise,US/Global,8,Massive self-serve subscriber base shifting to metered token billing = new decline exposure,All Copilot plans → usage-based AI-credit billing (Jun'26)
Goldbelly,Marketplace,Medium,New York NY,8,Payouts merchant + auth lift en picos de gifting,Marketplace food two-sided nationwide
Grafana Labs,SaaS,Enterprise,US/Global,8,"Self-serve consumption-metered observability, global SRE base: auth-rate lift on usage charges",$250M at ~$9B (Feb'26); multi-dimensional usage pricing
Grailed,Marketplace,Medium,New York NY,8,Payouts two-sided + LPMs checkout global,"Líder resale masculino, base intl"
Headspace,Health & Wellness,Enterprise,US/Global,8,IAP→web on $476M+ volume to escape 30% + dunning across 190 ctys,Top behavioral-health IPO candidate 2026; Cigna rollout + cost cuts
Hi-Rez Studios,Gaming,Enterprise,US/Global,8,"Just-launched F2P economy = ideal moment to standardize on one API for LPMs, routing, web store","SMITE 2 went F2P w/ microtxn (Jan'25), new economy"
High 5 Games,Gaming,Medium,Jersey City NJ,8,Failover coin-purchase + chargeback mgmt,Mercado sweeps activo 2025
Hily,Creator & Social,Medium,US/Global,8,"Scale off-store checkout globally w/ routing, dunning, redundancy, LatAm LPMs",Surpassed Bumble to #3 US dating app; already runs direct web billing
iFIT / NordicTrack,Health & Wellness,Enterprise,US/Global,8,"Dunning, retries, PSP redundancy for high-ARPU connected fitness",Restructured sub tiers Sep'25; millions of hardware-tethered subs US/EU
Insight Timer,Health & Wellness,Medium,US/Global,8,IAP→web for MemberPlus + UPI/LPMs for India + dunning on failed renewals,Official India launch (first emerging-mkt) Mar'26; 35M+ members; Apple 30% pain
Instacart,Marketplace,Enterprise,US/Global,8,One API for intl enterprise expansion + shopper payouts beyond US-centric stack,Acquired Instaleap for global enterprise expansion; intl traction Q1'26
Instawork,Marketplace,Medium,US/Global,8,Build worker payouts + collections on one orchestration layer ahead of Europe launch,$60M Series D; UK/EU expansion 2026-27; 4M+ hourly workers
Interview Kickstart,Education,Medium,Santa Clara CA,8,UPI/rails locales + installments via un API,Pivot a AI/ML; funnels US+India 2025-26
Jam City,Gaming,Medium,Culver City CA,8,Web-store D2C + LPMs para IAP global,Portfolio activo
Jumpspeak,Education,Medium,Miami FL,8,ESL intl en IAP = pagos locales + reducción de fees,Escalando intl via paid social
Juni Learning,Education,Medium,San Francisco CA,8,Payouts instructor + auth-rate sub recurrente padres,Crecimiento K-12 enrichment
Kajabi,Creator & Social,Enterprise,US/Global,8,"Investing in own payments layer: lift intl-card auth, cut FX surcharge, add redundancy",$10B cumulative creator payouts (Aug'25); +1.5% on intl cards
Kikoff,Fintech & Crypto,Medium,San Francisco CA,8,Recuperar cargos sub declined via retry/routing,"Superó $300M rev 2025, profitable"
Klover,Fintech & Crypto,Medium,Chicago IL,8,Push-to-card payout routing + redundancia disbursement,Modelo data-monetization
Ladder,Health & Wellness,Medium,US/Global,8,IAP→web + auth optimization as it chases the $100M ARR milestone,$105M (GC/Point72) targeting 400K members + $100M ARR early'26
Lambda Labs,SaaS,Enterprise,US/Global,8,Pre-IPO GPU cloud: hardened billing + PSP redundancy to de-risk collection ahead of listing,IPO planned H2'26 (banks hired); $520M+ rev; $1.5B Series E (Nov'25)
Levels,Health & Wellness,Medium,USA,8,Auth-rate + LPMs al ampliar TAM con CGM OTC,Membership $125/yr + Stelo OTC tailwind 2025
LifeMD,Health & Wellness,Medium,US/Global,8,Auth-rate lift + churn reduction protect new-subscriber LTV during growth push,Record 42k+ net-new subs Q1'26; weight-mgmt ~100k; Medicare Apr'26
Linktree,Creator & Social,Enterprise,US/Global,8,Pivoting to transactional commerce at 50M scale: launch payments/payouts globally w/ routing+LPMs,Launched 'Linktree Earn' + Shops; acquired Fingertip (Nov'25); 50M+ users
Lucra Sports,Gaming,Medium,USA,8,Failover + LPMs al expandir estados,Serie B Ene'26 (Harlo)
Magic Spoon,E-commerce & Retail,Medium,New York NY,8,Cortar churn involuntario via retries; auth-rate,+29% lift subscripción via Shopify 2025
Magoosh,Education,Medium,San Francisco CA,8,UPI + APMs locales para cortar declines de tarjeta,Tráfico intl India/Nigeria
Majority,Fintech & Crypto,Medium,Houston TX,8,LPMs en mercados receptores + auth de transfers,$40M ARR; remesas 4x
Masterworks,Fintech & Crypto,Medium,New York NY,8,Auth de compras card-funded + payouts,ARR +23% YoY
Mercari (US),Marketplace,Enterprise,US/Global,8,Processing in take rate: routing/cost reduction + cheaper payouts protect the 10% economics,Flat 10% fee w/ processing absorbed (Jan'25)
Mighty Networks,Creator & Social,Medium,Palo Alto CA,8,Sub billing + dunning + LPMs para miembros globales,Crecimiento comunidades de pago
MongoDB,SaaS,Enterprise,US/Global,8,Global self-serve usage billing at scale: cross-border cost + decline recovery on metered charges,Atlas Flex usage-based tier GA Feb'25; per-hour usage globally
