Rank,Tier,Company,Sector,Est. scale,HQ,Fit,Deck?,Signal,Yuno angle
183,C,PredictionStrike,Gaming/Ent,$14.7M funding,USA,7,NEW,Growth-stage financiado,Orquestación rail depósito + fraude
184,C,Public.com,Fintech,"~$174M rev, profitable",New York NY,7,NEW,$174M rev disclosed 2025,Auth de depósitos card + LPMs globales
185,C,Rain,Fintech,"$75M Serie B, ~$340M val",Los Angeles CA,7,NEW,$75M Serie B (Abr'25); 2.5M empleados,Push-to-card payout orchestration + redundancia
186,C,River Financial,Fintech,Series-stage BTC brokerage,Columbus OH,7,NEW,Crecimiento consumer estable,Card-auth en buys recurrentes + redundancia PSP
187,C,Rootine,Health/Wellness,$10M Serie A,USA,7,NEW,$10M Serie A 2025,Dunning + routing en subs vitaminas personalizadas
188,C,Sesame,Consumer AI,well-funded (Oculus founders),USA,7,NEW,Lanzó app iOS May'26,App IAP early → web-billing + dunning setup
189,C,SoloLearn,Edtech,"~$31M raised, Serie B",Pleasanton CA,7,NEW,"Escala consumer-app, learners intl 2025",Sub billing app+web + métodos locales + churn recovery
190,C,Stationhead,Creator/Social,$28.2M raised (UMG),New York NY,7,NEW,Eventos fan streaming escalando,LPMs + routing para compras fan / superfan global
191,C,Step,Fintech,"~$500M total, 1.5M+ users",Palo Alto CA,7,NEW,$300M debt facility,Auth de top-ups card-funded + failover PSP
192,C,Stork Club,Health/Wellness,$32.7M raised,USA,7,NEW,Plataforma maternity escalando 2025,Billing recurrente + high-ticket redundancia
193,C,Super Teacher,Consumer AI,seed/Serie A,USA,7,NEW,Lanzamiento Disrupt 2025,Dunning sub consumer + billing family-plan
194,C,Swan Bitcoin,Fintech,Serie C $10.3M,Calabasas CA,7,NEW,Serie C + Swan International (Oct'25),Card-auth routing en buys recurrentes + on-ramp global
195,C,TaleMonster Games,Gaming/Ent,$30M Serie A (a16z),USA,7,NEW,Serie A 2025,IAP→D2C + auth lift temprano
196,C,Tilting Point,Gaming/Ent,$150M UA fund,New York NY,7,NEW,Lanzó fondo UA $150M 2025,Routing IAP cross-title + web-store D2C
197,C,Tonebase,Edtech,"~$3M raised, seed",New Haven CT,7,NEW,Expansión eventos 2025,"Checkout sub + lifetime, rails estudiante intl"
198,C,Treet,Marketplace,growth recommerce,USA,7,NEW,Scaleup RaaS/recommerce,Rails payout seller + auth checkout
199,C,Trove,Marketplace,mid-market recommerce,Brisbane CA,7,NEW,Adquirió Recurate (2024) P2P payout,Payouts trade-in two-sided via un API
200,C,Aragon AI,Consumer AI,"seed, 1.2M users",San Francisco CA,6,NEW,1.2M+ users 2025-26,Usage-credit billing + auth intl + redundancia PSP
201,C,First Voyage,Consumer AI,$2.5M seed,USA,6,NEW,$2.5M seed Dic'25,IAP→web + dunning sub foundation
202,C,Granola,Consumer AI,Serie A/B,USA,6,NEW,Top consumer AI productivity 2025-26,Prosumer sub billing + LPMs + decline recovery
203,C,Lemon Slice,Consumer AI,$10.5M seed (YC),USA,6,NEW,$10.5M seed Dic'25,Credit billing + routing intl al escalar
204,C,Memberful,Creator/Social,membership infra,USA,6,NEW,Demanda membership-economy,Redundancia PSP + auth-rate en subs membership
205,C,Outlier.org,Edtech,~$15M rev,USA,6,NEW,Rev consumer ~$15M 2025,Checkout tuition consumer + financing + decline recovery
206,C,Particle,Consumer AI,Serie A (ex-Twitter),USA,6,NEW,"Top news app, escalando 2025-26",Sub consumer dunning + auth intl
207,C,Pico,Creator/Social,$6.5M raised,New York NY,6,NEW,$6.5M raise,Sub billing + LPMs para monetización de miembros
208,C,StellarFi,Fintech,"~$25.7M raised, Serie A",Austin TX,6,NEW,Crecimiento early-stage,Recuperar cargos sub fallidos via smart retry
209,C,Wispr Flow,Consumer AI,Serie A-stage,USA,6,NEW,Adopción prosumer fuerte 2025-26,Sub billing self-serve + auth intl + dunning
210,C,Yoogis Closet,Marketplace,small-mid luxury resale,Portland OR,6,NEW,Líder US luxury-resale 2025,Payouts seller + optimización checkout
