Priority,Score,Company,Salesforce Status,Industry,HQ_US,Description,Signal_WhyNow
BONUS,8,Talkspace,NO OPP,Health & Fitness,Y,Subscription virtual therapy/psychiatry app across all 50 states,Being acquired by Universal Health Services for ~$835M (Mar 2026) close expected Q3 2026
BONUS,8,Stash,NO OPP,Consumer Fintech,Y,Subscription-based consumer investing app (>1M users >$5B AUM),Agreed to be acquired by Grab in $425M deal (Feb 2026) close expected Q3 2026
BONUS,9,SoFi,NO OPP,Consumer Fintech,Y,National-charter neobank scaling crypto stablecoin and cross-border money movement,Q1 2026 launched SoFiUSD stablecoin + blockchain remittances in 30+ countries; revenue $1.1B +41% (May 2026)
BONUS,9,Carvana,NO OPP,Retail/E-Commerce,Y,Online used/new car retailer handling high-volume purchase financing and payments,Record Q1 2026 (187K units $6.4B); new-car push + same-day delivery in 60+ metros (Apr 2026)
BONUS,9,Wonder,NO OPP,Food Delivery,Y,Vertically integrated food-delivery platform consolidating Grubhub and Blue Apron,~$600M+ round at $7B; hit 100th location; stated 2028 IPO plan (Feb-May 2026)
BONUS,9,Quince,NO OPP,Retail/E-Commerce,Y,DTC affordable-luxury brand (apparel home luggage) supplier-direct global model,Series E $500M at $10.1B led by Iconiq (~Mar 2026); doubled valuation in 6 months
BONUS,8,Public.com,NO OPP,Consumer Fintech,Y,Multi-asset retail investing app expanding crypto and retirement products,Acquired Alto CryptoIRA (~$65M) integrating early 2026; Treasury M&A Jun 2026; 5M+ users
BONUS,8,Bilt Rewards,NO OPP,Consumer Fintech,Y,Rent-and-spend rewards platform processing ACH/debit/credit,$250M round at $10.75B; Card 2.0 launching Feb 2026 with new card-issuing partner
BONUS,8,Hard Rock Digital,NO OPP,Sports Betting,Y,Real-money sportsbook/casino operator scaling onboarding and payments,Expanded GeoComply identity/fraud partnership across onboarding and compliance (May 2026)
BONUS,8,Fold,NO OPP,Crypto,Y,Public consumer Bitcoin-rewards app with debit/credit cards bill pay and merchant rewards,Launched unified Bitcoin-rewards app + Bitcoin Rewards Credit Card; revenue +8% to $9M (early 2026)
BONUS,8,Fubo,NO OPP,Digital Subscriptions,Y,Sports-first streaming platform integrating Hulu+Live TV merger,First full quarter post-merger; 5.7M+ subscribers plus Rest-of-World ops (Q2 FY2026)
BONUS,8,Rent the Runway,NO OPP,Retail/E-Commerce,Y,Subscription fashion-rental and resale platform pivoting to AI/marketplace,CEO transition (interim ex-Nordstrom) amid 29% revenue growth (May-Jun 2026)
BONUS,8,The RealReal,NO OPP,Retail/E-Commerce,Y,Luxury consignment resale marketplace scaling cross-border supply and payments,Intl supply expansion (Italy France Japan) + Q1 2026 GMV $606M (+24%) (Mar 2026)
BONUS,8,Snap Inc,NO OPP,Dating/Social,Y,Social app monetizing 956M users via subscriptions and creator payments,Launched Creator Subscriptions with intl rollout (Canada/UK/France); Other Revenue +87% (Feb-May 2026)
BONUS,8,Eight Sleep,NO OPP,Health & Fitness,Y,Smart-mattress/sleep-tech DTC brand (hardware + subscription) in 34+ countries,$50M raise at $1.5B led by Tether; funding earmarked for global expansion (~Mar 2026)
BONUS,8,Varo Bank,NO OPP,Consumer Fintech,Y,Consumer challenger bank with checking savings and lending (national bank charter),Series G $123.9M led by Warburg Pincus & Coliseum (Feb 2026) to scale lending
BONUS,8,Dave,NO OPP,Consumer Fintech,Y,Consumer banking app (ExtraCash overdraft checking budgeting),Launching Pay in Four BNPL in Q2 2026 (new payments product)
BONUS,8,Step,NO OPP,Consumer Fintech,Y,Mobile banking and card app for teens/Gen Z with P2P and direct deposit,Secured up to $300M debt funding led by TriplePoint & Evolve 2026; total raised ~$500M
